"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","ホーム","2","0","訪問者がウェルカムページを閲覧する","0"
"0","","0","ホーム","2","0","訪問者がAboutカードからAboutページへ遷移する","0"
"0","","0","ナビゲーション","2","0","認証後にSign Outボタンが表示される","0"
"0","","0","Todo","2","0","ユーザーがTodoを削除する","0"
"0","","0","Todo","2","0","ユーザーが複数のTodoを管理する","0"
"0","","0","認証","2","0","未認証ユーザーがログインページにリダイレクトされる","0"
"0","","0","ナビゲーション","2","0","訪問者がナビでページ間を移動する","0"
"0","","0","Todo","2","0","ユーザーがTodoを追加してリストに表示される","0"
"0","","0","認証","2","0","ユーザーがサインインしてTodoページに到達する","0"
"0","","0","ナビゲーション","2","0","未認証時にSign Inリンクが表示される","0"
"0","","0","認証","2","0","ユーザーがサインアウトするとアクセスできなくなる","0"
